actor_1_name,movie_title,genres,title_year,imdb_score,movie_facebook_likes
Robert Downey Jr.,The Shaggy Dog,Comedy|Family|Fantasy,2006,4.4,747
Snoop Dogg,Starsky & Hutch,Comedy|Crime,2004,6.1,0
Jim Belushi,Jingle All the Way,Comedy|Family,1996,5.4,0
James Babson,Hellboy,Action|Fantasy|Horror|Sci-Fi,2004,6.8,0
Robert Duvall,A Civil Action,Drama,1998,6.5,1000
Anna Kendrick,ParaNorman,Adventure|Animation|Comedy|Family|Fantasy,2012,7,12000
J.K. Simmons,The Jackal,Action|Adventure|Crime|Thriller,1997,6.3,0
Ivana Milicevic,Paycheck,Action|Mystery|Sci-Fi|Thriller,2003,6.3,0
Joe Mantegna,Up Close & Personal,Drama|Romance,1996,6.1,829
Emma Watson,The Tale of Despereaux,Adventure|Animation|Comedy|Family|Fantasy,2008,6.1,0
Bianca Kajlich,Rules of Engagement            ,Comedy|Romance,,7.3,0
Romany Malco,The Tuxedo,Action|Comedy|Sci-Fi,2002,5.3,797
Peter Greene,Under Siege 2: Dark Territory,Action|Thriller,1995,5.4,1000
Colm Feore,Jack Ryan: Shadow Recruit,Action|Drama|Thriller,2014,6.2,17000
Jennifer Lawrence,Joy,Biography|Comedy|Drama,2015,6.6,24000
Gerard Butler,London Has Fallen,Action|Crime|Drama|Thriller,2016,5.9,28000
Gary Dourdan,Alien: Resurrection,Action|Horror|Sci-Fi,1997,6.3,0
Tate Donovan,Shooter,Action|Crime|Drama|Mystery|Thriller,2007,7.2,0
Isaac Hempstead Wright,The Boxtrolls,Adventure|Animation|Comedy|Family|Fantasy,2014,6.8,11000
Goran Visnjic,Practical Magic,Comedy|Drama|Fantasy|Romance,1998,6.1,0
Morgan Freeman,The Lego Movie,Action|Adventure|Animation|Comedy|Family|Fantasy,2014,7.8,64000
Eileen Brennan,Miss Congeniality 2: Armed and Fabulous,Action|Comedy|Crime,2005,5,621
Christian Bale,Reign of Fire,Action|Adventure|Fantasy|Sci-Fi|Thriller,2002,6.2,0
Ryan Gosling,Gangster Squad,Action|Crime|Drama|Thriller,2013,6.7,40000
Olivia Wilde,Year One,Adventure|Comedy,2009,4.9,0
Matt Damon,Invictus,Biography|Drama|History|Sport,2009,7.4,23000
Robin Wright,State of Play,Crime|Drama|Mystery|Thriller,2009,7.1,0
Julia Roberts,Duplicity,Comedy|Crime|Romance|Thriller,2009,6.2,0
Steven Anthony Lawrence,My Favorite Martian,Comedy|Family|Sci-Fi,1999,4.9,448
Blair Brown,The Sentinel,Action|Crime|Thriller,2006,6.1,690
Dwayne Johnson,Planet 51,Adventure|Animation|Comedy|Family|Sci-Fi,2009,6.1,0
Tom Hardy,Star Trek: Nemesis,Action|Adventure|Sci-Fi|Thriller,2002,6.4,0
Cedric the Entertainer,Intolerable Cruelty,Comedy|Crime|Romance,2003,6.3,0
Clint Eastwood,Trouble with the Curve,Drama|Sport,2012,6.8,11000
Bojana Novakovic,Edge of Darkness,Crime|Drama|Mystery|Thriller,2010,6.6,0
John Kapelos,The Relic,Horror|Mystery|Sci-Fi|Thriller,1997,5.7,956
Robert De Niro,Analyze That,Comedy|Crime,2002,5.9,846
Robert De Niro,Righteous Kill,Action|Crime|Drama|Mystery|Thriller,2008,6,0
Bruce Willis,Mercury Rising,Action|Crime|Drama|Thriller,1998,6.1,0
Robert Downey Jr.,The Soloist,Biography|Drama|Music,2009,6.7,0
Matt Damon,The Legend of Bagger Vance,Drama|Fantasy|Sport,2000,6.7,0
Philip Seymour Hoffman,Almost Famous,Adventure|Comedy|Drama|Music,2000,7.9,15000
Bill Murray,Garfield 2,Animation|Comedy|Family|Fantasy,2006,5,470
Sunny Mabrey,xXx: State of the Union,Action|Adventure|Crime|Thriller,2005,4.3,0
Josh Wingate,Priest,Action|Fantasy|Horror|Sci-Fi|Thriller,2011,5.7,20000
Brad Pitt,Sinbad: Legend of the Seven Seas,Adventure|Animation|Comedy|Drama|Family|Fantasy|Romance,2003,6.7,880
Sean Pertwee,Event Horizon,Horror|Sci-Fi|Thriller,1997,6.7,10000
Chris Hemsworth,The Avengers,Action|Adventure|Sci-Fi,2012,8.1,123000
Joe Morton,Dragonfly,Drama|Fantasy|Mystery|Romance|Thriller,2002,6.1,0
Scarlett Johansson,The Black Dahlia,Crime|Drama|Mystery|Thriller,2006,5.6,0
James Franco,Flyboys,Action|Adventure|Drama|History|Romance|War,2006,6.6,2000
Clifton Collins Jr.,The Last Castle,Action|Drama|Thriller,2001,6.9,0
Robert Forster,Supernova,Horror|Sci-Fi|Thriller,2000,4.8,589
Matt Bomer,Winter's Tale,Drama|Fantasy|Mystery|Romance,2014,6.2,17000
Aidan Turner,The Mortal Instruments: City of Bones,Fantasy|Horror|Mystery|Romance,2013,6,44000
Marc Blucas,Meet Dave,Adventure|Comedy|Family|Romance|Sci-Fi,2008,4.9,791
Dougray Scott,Dark Water,Drama|Horror|Thriller,2005,5.6,0
Matthew McConaughey,Edtv,Comedy|Drama,1999,6.1,641
Brendan Fraser,Inkheart,Adventure|Family|Fantasy,2008,6.1,0
Scarlett Johansson,The Spirit,Action|Crime|Fantasy|Thriller,2008,4.8,2000
Johnny Depp,Mortdecai,Action|Comedy|Mystery|Romance,2015,5.5,12000
Jason Statham,In the Name of the King: A Dungeon Siege Tale,Action|Adventure|Fantasy|Thriller,2007,3.8,0
Angelina Jolie Pitt,Beyond Borders,Adventure|Drama|Romance|War,2003,6.5,0
Li Gong,Xi you ji zhi: Sun Wukong san da Baigu Jing,Action|Adventure|Fantasy,2016,6,426
James Franco,The Great Raid,Action|Drama|War,2005,6.7,0
Ryan Reynolds,Deadpool,Action|Adventure|Comedy|Romance|Sci-Fi,2016,8.1,117000
Kelly Preston,Holy Man,Comedy|Drama,1998,4.9,296
Bradley Cooper,American Sniper,Action|Biography|Drama|History|Thriller|War,2014,7.3,112000
Odeya Rush,Goosebumps,Adventure|Comedy|Family|Fantasy|Horror,2015,6.4,35000
Nate Richert,"Sabrina, the Teenage Witch            ",Comedy|Family|Fantasy,,6.6,990
Jon Heder,Just Like Heaven,Comedy|Fantasy|Romance,2005,6.7,0
Taylor Negron,The Flintstones in Viva Rock Vegas,Comedy|Family|Romance|Sci-Fi,2000,3.6,500
Sylvester Stallone,Rambo III,Action|Adventure|Thriller|War,1988,5.7,2000
Robert Baker,Leatherheads,Comedy|Drama|Romance|Sport,2008,6,472
Taylor Lautner,The Ridiculous 6,Comedy|Western,2015,4.9,0
Michael Kelly,Did You Hear About the Morgans,Comedy|Drama|Romance,2009,4.7,0
Josh Gad,The Internship,Comedy,2013,6.3,22000
Milla Jovovich,Resident Evil: Afterlife,Action|Adventure|Horror|Sci-Fi,2010,5.9,19000
David Oyelowo,Red Tails,Action|Adventure|Drama|History|War,2012,5.9,0
Chris Noth,Sex and the City            ,Comedy|Romance,,7,0
Keanu Reeves,The Devil's Advocate,Drama|Mystery|Thriller,1997,7.5,11000
Adam Sandler,That's My Boy,Comedy,2012,5.6,12000
Dennis Quaid,DragonHeart,Action|Adventure|Fantasy,1996,6.4,0
Salma Hayek,After the Sunset,Action|Comedy|Crime|Drama,2004,6.3,782
Nicolas Cage,Ghost Rider: Spirit of Vengeance,Action|Fantasy|Thriller,2011,4.3,18000
Christian Bale,Captain Corelli's Mandolin,Drama|Music|Romance|War,2001,5.9,0
Barry Corbin,Anger Management            ,Comedy|Romance,,6.7,0
Vin Diesel,The Pacifier,Action|Comedy|Drama|Family|Thriller,2005,5.5,0
Dwayne Johnson,Walking Tall,Action|Crime,2004,6.2,0
Tom Hanks,Forrest Gump,Comedy|Drama,1994,8.8,59000
Jesse McCartney,Alvin and the Chipmunks,Animation|Comedy|Family|Fantasy|Music,2007,5.2,0
Robert De Niro,Meet the Parents,Comedy,2000,7,0
Christian Bale,Pocahontas,Adventure|Animation|Drama|Family|History|Musical|Romance,1995,6.6,0
Marlon Brando,Superman,Action|Adventure|Drama|Romance|Sci-Fi,1978,7.3,0
Jada Pinkett Smith,The Nutty Professor,Comedy|Romance|Sci-Fi,1996,5.6,960
Will Smith,Hitch,Comedy|Romance,2005,6.6,0
Brendan Fraser,George of the Jungle,Action|Adventure|Comedy|Family|Romance,1997,5.4,5000
Alyson Hannigan,American Wedding,Comedy|Romance,2003,6.3,0
Tom Hanks,Captain Phillips,Biography|Drama|Thriller,2013,7.9,65000
Mila Kunis,Date Night,Comedy|Crime|Romance|Thriller,2010,6.3,0
Eric Idle,Casper,Comedy|Family|Fantasy,1995,6,0
Denzel Washington,The Equalizer,Action|Crime|Thriller,2014,7.2,56000
Bob Hoskins,Maid in Manhattan,Comedy|Drama|Romance,2002,5.1,0
Denzel Washington,Crimson Tide,Action|Drama|Thriller|War,1995,7.3,0
Will Smith,The Pursuit of Happyness,Biography|Drama,2006,8,32000
Erika Christensen,Flightplan,Drama|Mystery|Thriller,2005,6.2,0
Demi Moore,Disclosure,Drama|Thriller,1994,6,0
Nicolas Cage,City of Angels,Drama|Fantasy|Romance,1998,6.7,0
David Carradine,Kill Bill: Vol. 1,Action,2003,8.1,13000
Robert Downey Jr.,Bowfinger,Comedy,1999,6.4,0
Christopher Judge,Stargate SG-1            ,Action|Adventure|Drama|Sci-Fi,,8.4,0
Vivica A. Fox,Kill Bill: Vol. 2,Action|Crime|Drama|Thriller,2004,8,0
Sylvester Stallone,Tango & Cash,Action|Comedy|Crime|Thriller,1989,6.3,0
Bruce Willis,Death Becomes Her,Comedy|Fantasy|Horror,1992,6.4,8000
Xander Berkeley,Shanghai Noon,Action|Adventure|Comedy|Western,2000,6.6,0
Oliver Platt,Executive Decision,Action|Adventure|Thriller,1996,6.4,0
Madeline Carroll,Mr. Popper's Penguins,Comedy|Family|Fantasy,2011,6,14000
Jet Li,The Forbidden Kingdom,Action|Adventure|Fantasy,2008,6.6,0
Amy Poehler,Free Birds,Adventure|Animation|Comedy|Family,2013,5.9,0
Charles S. Dutton,Alien 3,Action|Horror|Sci-Fi,1992,6.4,0
Andrea Corr,Evita,Biography|Drama|History|Musical,1996,6.3,0
Robert De Niro,Ronin,Action|Adventure|Crime|Thriller,1998,7.3,0
Tom Wilkinson,The Ghost and the Darkness,Adventure|Drama|Horror|Thriller,1996,6.8,0
Julie Walters,Paddington,Animation|Comedy|Family|Fantasy,2014,7.2,30000
Will Forte,The Watch,Action|Comedy|Sci-Fi,2012,5.7,15000
Connie Nielsen,The Hunted,Action|Crime|Drama|Thriller,2003,6,0
Anthony Hopkins,Instinct,Drama|Thriller,1999,6.5,0
Matt Damon,Stuck on You,Comedy,2003,5.8,0
Will Ferrell,Semi-Pro,Comedy|Sport,2008,5.8,0
Salma Hayek,The Pirates! Band of Misfits,Adventure|Animation|Comedy|Family,2012,6.7,0
Angelina Jolie Pitt,Changeling,Crime|Drama|Mystery|Thriller,2008,7.8,14000
Keanu Reeves,Chain Reaction,Action|Drama|Sci-Fi|Thriller,1996,5.6,1000
Robert De Niro,The Fan,Action|Drama|Sport|Thriller,1996,5.8,0
Gerard Butler,The Phantom of the Opera,Drama|Musical|Romance|Thriller,2004,7.4,0
Eddie Redmayne,Elizabeth: The Golden Age,Biography|Drama|History|War,2007,6.9,0
Charlize Theron,on Flux,Action|Sci-Fi,2005,5.5,0
Billy Campbell,Gods and Generals,Drama|History|War,2003,6.3,953
Hector Elizondo,Turbulence,Action|Thriller,1997,4.7,316
Stephen Root,Imagine That,Comedy|Drama|Family|Fantasy,2009,5.6,610
Ty Burrell,Muppets Most Wanted,Adventure|Comedy|Crime|Family|Musical,2014,6.4,10000
Sophia Myles,Thunderbirds,Action|Adventure|Comedy|Family|Sci-Fi,2004,4.2,437
Eric Dane,Burlesque,Drama|Music|Musical|Romance,2010,6.4,19000
Denis Lavant,A Very Long Engagement,Drama|Mystery|Romance|War,2004,7.7,0
James Mason,Lolita,Crime|Drama|Romance,1962,7.7,0
Sylvester Stallone,Eye See You,Crime|Horror|Mystery|Thriller,2002,5.3,448
Norman Reedus,Blade II,Action|Horror|Sci-Fi|Thriller,2002,6.7,0
Will Smith,Seven Pounds,Drama|Romance,2008,7.7,26000
Sylvester Stallone,Bullet to the Head,Action|Thriller,2012,5.7,10000
Al Pacino,The Godfather: Part III,Crime|Drama,1990,7.6,0
Orlando Bloom,Elizabethtown,Comedy|Drama|Romance,2005,6.4,0
Todd Stashwick,"You, Me and Dupree",Comedy|Romance,2006,5.6,0
Margot Kidder,Superman II,Action|Adventure|Romance|Sci-Fi,1980,6.8,0
Todd Giebenhain,Gigli,Comedy|Crime|Romance,2003,2.4,2000
Kate Winslet,All the King's Men,Drama|Thriller,2006,6.2,0
Christian Bale,Shaft,Action|Crime|Thriller,2000,5.9,0
Kirsten Dunst,Anastasia,Adventure|Animation|Drama|Family|Fantasy|Musical|Mystery|Romance,1997,7.1,0
Jim Broadbent,Moulin Rouge!,Drama|Musical|Romance,2001,7.6,10000
Steve Buscemi,Domestic Disturbance,Crime|Mystery|Thriller,2001,5.5,361
Johnny Depp,Black Mass,Biography|Crime|Drama,2015,7,44000
Paul Walker,Flags of Our Fathers,Drama|History|War,2006,7.1,0
Gerard Butler,Law Abiding Citizen,Crime|Drama|Thriller,2009,7.4,21000
Quentin Tarantino,Grindhouse,Action|Horror|Thriller,2007,7.6,0
Oprah Winfrey,Beloved,Drama|History|Horror,1998,5.9,853
Robert Downey Jr.,Lucky You,Drama|Romance|Sport,2007,5.9,672
Leonardo DiCaprio,Catch Me If You Can,Biography|Crime|Drama,2002,8,15000
Jennifer Ehle,Zero Dark Thirty,Drama|History|Thriller,2012,7.4,39000
Jon Favreau,The Break-Up,Comedy|Drama|Romance,2006,5.8,0
Colin Firth,Mamma Mia!,Comedy|Family|Musical|Romance,2008,6.3,10000
Bradley Cooper,Valentine's Day,Comedy|Romance,2010,5.7,9000
Alice Greczyn,The Dukes of Hazzard,Action|Adventure|Comedy,2005,5.1,0
Nick Stahl,The Thin Red Line,Drama|War,1998,7.6,0
Ryan Reynolds,The Change-Up,Comedy|Fantasy,2011,6.4,13000
Matt Price,Man on the Moon,Biography|Comedy|Drama,1999,7.4,0
Robert De Niro,Casino,Biography|Crime|Drama,1995,8.2,11000
Kasia Smutniak,From Paris with Love,Action|Thriller,2010,6.5,0
Jaime King,Bulletproof Monk,Action|Comedy|Fantasy,2003,5.5,846
Robert Forster,"Me, Myself & Irene",Comedy,2000,6.5,0
Rob Paulsen,Barnyard,Animation|Comedy|Family,2006,5.6,605
Matthew Broderick,Deck the Halls,Comedy|Family,2006,4.9,1000
Robert Pattinson,The Twilight Saga: New Moon,Adventure|Drama|Fantasy|Romance,2009,4.6,13000
Kathleen Freeman,Shrek,Adventure|Animation|Comedy|Family|Fantasy,2001,7.9,0
Matt Damon,The Adjustment Bureau,Romance|Sci-Fi|Thriller,2011,7.1,36000
Alan Rickman,Robin Hood: Prince of Thieves,Action|Adventure|Drama|Romance,1991,6.9,0
Tom Cruise,Jerry Maguire,Comedy|Drama|Romance|Sport,1996,7.3,0
Mila Kunis,Ted,Comedy|Fantasy,2012,7,74000
Lupe Ontiveros,As Good as It Gets,Comedy|Drama|Romance,1997,7.7,11000
Robin Williams,Patch Adams,Biography|Comedy|Drama|Romance,1998,6.7,0
Harrison Ford,Anchorman 2: The Legend Continues,Comedy,2013,6.3,41000
Steve Buscemi,Mr. Deeds,Comedy|Romance,2002,5.8,0
Joel Courtney,Super 8,Mystery|Sci-Fi|Thriller,2011,7.1,37000
Julia Roberts,Erin Brockovich,Biography|Drama,2000,7.3,0
Matthew McConaughey,How to Lose a Guy in 10 Days,Comedy|Romance,2003,6.4,0
Channing Tatum,22 Jump Street,Action|Comedy|Crime,2014,7.1,24000
Brad Pitt,Interview with the Vampire: The Vampire Chronicles,Drama|Fantasy|Horror,1994,7.6,11000
Bradley Cooper,Yes Man,Comedy|Romance,2008,6.8,0
Dwayne Johnson,Central Intelligence,Action|Comedy|Crime,2016,6.6,10000
Julia Roberts,Stepmom,Comedy|Drama,1998,6.7,0
Will Ferrell,Daddy's Home,Comedy|Family,2015,6.1,13000
Johnny Depp,Into the Woods,Adventure|Comedy|Drama|Fantasy|Musical,2014,6,90000
Denzel Washington,Inside Man,Crime|Drama|Mystery|Thriller,2006,7.6,0
Bill Duke,Payback,Action|Crime|Drama|Thriller,1999,7.1,0
Dylan Walsh,Congo,Action|Adventure|Mystery|Sci-Fi,1995,5,0
Scarlett Johansson,We Bought a Zoo,Comedy|Drama|Family,2011,7.1,22000
Nicolas Cage,Knowing,Drama|Mystery|Sci-Fi|Thriller,2009,6.2,0
Bradley Cooper,Failure to Launch,Comedy|Romance,2006,5.6,2000
Naomi Watts,The Ring Two,Horror|Mystery,2005,5.4,0
Ryan Gosling,"Crazy, Stupid, Love.",Comedy|Drama|Romance,2011,7.4,44000
Bill Murray,Garfield,Animation|Comedy|Family|Fantasy,2004,5,795
Jamie Lee Curtis,Christmas with the Kranks,Comedy|Family,2004,5.2,0
Philip Seymour Hoffman,Moneyball,Biography|Drama|Sport,2011,7.6,27000
Kevin Spacey,Outbreak,Action|Drama|Thriller,1995,6.6,0
Liam Neeson,Non-Stop,Action|Mystery|Thriller,2014,7,24000
Dwayne Johnson,Race to Witch Mountain,Action|Adventure|Family|Fantasy|Sci-Fi|Thriller,2009,5.7,0
Natalie Portman,V for Vendetta,Action|Drama|Thriller,2005,8.2,48000
Fann Wong,Shanghai Knights,Action|Adventure|Comedy,2003,6.2,955
Bernard Hill,Unforgotten            ,Crime|Drama,,7.9,0
Will Ferrell,Curious George,Adventure|Animation|Comedy|Family,2006,6.6,624
Scoot McNairy,Herbie Fully Loaded,Adventure|Comedy|Family|Fantasy|Romance|Sport,2005,4.7,1000
Oliver Platt,Don't Say a Word,Crime|Drama|Mystery|Thriller,2001,6.3,970
Jeremy Renner,Hansel & Gretel: Witch Hunters,Action|Fantasy|Horror,2013,6.1,45000
Olivier Martinez,Unfaithful,Drama|Thriller,2002,6.7,0
Alex Pettyfer,I Am Number Four,Action|Adventure|Sci-Fi|Thriller,2011,6.1,27000
Matt Damon,Syriana,Drama|Thriller,2005,7,0
Toby Stephens,13 Hours,Action|Drama|Thriller|War,2016,7.4,44000
Channing Tatum,The Book of Life,Adventure|Animation|Comedy|Family|Fantasy|Romance,2014,7.3,18000
Jimmy Bennett,Firewall,Crime|Thriller,2006,5.8,773
Clint Eastwood,Absolute Power,Action|Crime|Drama|Thriller,1997,6.7,1000
Viggo Mortensen,G.I. Jane,Action|Drama|War,1997,5.8,2000
Deborah Kara Unger,The Game,Drama|Mystery|Thriller,1997,7.8,25000
Radha Mitchell,Silent Hill,Adventure|Horror|Mystery,2006,6.6,0
Keanu Reeves,The Replacements,Comedy|Sport,2000,6.5,0
Alyson Hannigan,American Reunion,Comedy,2012,6.7,39000
Kevin Spacey,The Negotiator,Action|Crime|Drama|Mystery|Thriller,1998,7.3,3000
Matt Walsh,Into the Storm,Action|Thriller,2014,5.8,15000
Louis Lombardi,Beverly Hills Cop III,Action|Comedy|Crime|Thriller,1994,5.5,669
Christopher Lee,Gremlins 2: The New Batch,Comedy|Fantasy|Horror,1990,6.3,0
Robert Downey Jr.,The Judge,Crime|Drama,2014,7.4,47000
Armin Mueller-Stahl,The Peacemaker,Action|Thriller,1997,5.9,0
Milla Jovovich,Resident Evil: Apocalypse,Action|Horror|Sci-Fi|Thriller,2004,6.2,0
Colin Firth,Bridget Jones: The Edge of Reason,Comedy|Drama|Romance,2004,5.9,0
Denzel Washington,Out of Time,Crime|Drama|Romance|Thriller,2003,6.5,1000
Mike Starr,On Deadly Ground,Action|Adventure|Thriller,1994,4.4,812
Taylor Lautner,The Adventures of Sharkboy and Lavagirl 3-D,Action|Adventure|Family|Fantasy,2005,3.5,0
Leonardo DiCaprio,The Beach,Adventure|Drama|Thriller,2000,6.6,0
Amber Valletta,Raising Helen,Comedy|Drama|Romance,2004,6,718
Shô Kosugi,Ninja Assassin,Action|Crime|Thriller,2009,6.4,0
J.K. Simmons,For Love of the Game,Drama|Romance|Sport,1999,6.5,0
David Jason,A Touch of Frost            ,Crime|Drama|Mystery,,7.8,361
Demi Moore,Striptease,Comedy|Crime|Drama|Thriller,1996,4.3,877
Emma Stone,Marmaduke,Comedy|Family,2010,4.2,0
Matt Damon,Hereafter,Drama|Fantasy,2010,6.5,16000
Ryan Gosling,Murder by Numbers,Crime|Mystery|Thriller,2002,6.1,0
Muse Watson,Assassins,Action|Crime|Thriller,1995,6.3,0
Li Gong,Hannibal Rising,Crime|Drama|Thriller,2007,6.2,3000
Bruce Willis,The Story of Us,Comedy|Drama|Romance,1999,5.9,0
J.D. Evermore,The Host,Action|Adventure|Romance|Sci-Fi|Thriller,2013,5.9,43000
Connie Nielsen,Basic,Action|Crime|Drama|Mystery|Thriller,2003,6.5,0
Clint Eastwood,Blood Work,Action|Crime|Drama|Mystery|Thriller,2002,6.4,705
Naomi Watts,The International,Action|Crime|Drama|Mystery|Thriller,2009,6.5,0
Steve Buscemi,Escape from L.A.,Action|Adventure|Sci-Fi|Thriller,1996,5.7,0
Grey Damon,Twisted            ,Drama|Mystery|Thriller,,7.5,915
Vin Diesel,The Iron Giant,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,1999,8,0
Bill Murray,The Life Aquatic with Steve Zissou,Adventure|Comedy|Drama,2004,7.3,0
Matthew McConaughey,Free State of Jones,Action|Biography|Drama|History|War,2016,6.7,10000
Kevin Spacey,The Life of David Gale,Crime|Drama|Thriller,2003,7.5,0
Christina Milian,Man of the House,Action|Comedy,2005,5.4,779
Liam Neeson,Run All Night,Action|Crime|Drama|Thriller,2015,6.6,15000
Viggo Mortensen,Eastern Promises,Crime|Mystery|Thriller,2007,7.7,0
Paul Walker,Into the Blue,Action|Adventure|Crime|Thriller,2005,5.8,0
Paul Brooke,The Messenger: The Story of Joan of Arc,Adventure|Biography|Drama|History|War,1999,6.4,0
Natalie Portman,Your Highness,Adventure|Comedy|Fantasy,2011,5.6,18000
Naomi Watts,Dream House,Drama|Mystery|Thriller,2011,6,0
Mia Kirshner,Mad City,Crime|Drama|Thriller,1997,6.2,697
Joe Mantegna,Baby's Day Out,Adventure|Comedy|Crime|Drama|Family,1994,5.9,0
Gary Oldman,The Scarlet Letter,Drama|Romance,1995,5.1,943
Naomi Watts,Fair Game,Biography|Drama|Thriller,2010,6.8,9000
Julie Benz,Defiance            ,Action|Drama|Sci-Fi,,7,0
Ian Ziering,Domino,Action|Biography|Crime|Drama|Thriller,2005,6,0
Michael Biehn,Jade,Crime|Drama|Thriller,1995,5.1,422
Gerard Butler,Gamer,Action|Sci-Fi|Thriller,2009,5.8,0
Alden Ehrenreich,Beautiful Creatures,Drama|Fantasy|Romance,2013,6.2,14000
Robin Williams,Death to Smoochy,Comedy|Crime|Drama|Thriller,2002,6.4,0
Milla Jovovich,Zoolander 2,Comedy,2016,4.8,28000
Morgan Freeman,The Big Bounce,Comedy|Crime,2004,4.9,288
Judy Greer,What Planet Are You From,Comedy|Sci-Fi,2000,5.6,255
Nicolas Cage,Drive Angry,Action|Fantasy|Thriller,2011,5.5,15000
Chris Klein,Street Fighter: The Legend of Chun-Li,Action|Crime|Drama|Mystery|Thriller,2009,3.7,0
Jason Statham,The One,Action|Sci-Fi|Thriller,2001,5.9,0
Tobias Menzies,Outlander            ,Drama|Romance|Sci-Fi,,8.5,31000
Lauren Holly,The Adventures of Ford Fairlane,Action|Adventure|Comedy|Crime|Music|Mystery,1990,6.3,2000
Philip Seymour Hoffman,Pirate Radio,Comedy|Drama|Music,2009,7.4,21000
Michael O'Neill,Traffic,Crime|Drama|Thriller,2000,7.6,0
Harrison Ford,Indiana Jones and the Last Crusade,Action|Adventure|Fantasy,1989,8.3,0
Kelly Macdonald,Anna Karenina,Drama|Romance,2012,6.6,36000
Hugh Jackman,Chappie,Action|Crime|Drama|Sci-Fi|Thriller,2015,6.9,67000
Denzel Washington,The Bone Collector,Crime|Drama|Mystery|Thriller,1999,6.7,0
Kristen Stewart,Panic Room,Crime|Drama|Thriller,2002,6.8,0
P.J. Soles,The Tooth Fairy,Horror|Thriller,2006,4.6,352
Judy Greer,Three Kings,Action|Adventure|Comedy|Drama|War,1999,7.1,3000
Tom Hardy,Child 44,Crime|Drama|Thriller,2015,6.4,18000
Corinna Harney,Rat Race,Adventure|Comedy,2001,6.4,0
Kevin Spacey,K-PAX,Drama|Mystery|Sci-Fi,2001,7.4,0
Hugh Jackman,Kate & Leopold,Comedy|Fantasy|Romance,2001,6.4,0
Brendan Fraser,Bedazzled,Comedy|Fantasy|Romance,2000,6,0
Nicolas Cage,The Cotton Club,Crime|Drama|Music,1984,6.5,828
Christian Bale,3:10 to Yuma,Adventure|Crime|Drama|Western,2007,7.8,0
Liam Neeson,Taken 3,Action|Thriller,2014,6,38000
Don Cheadle,Out of Sight,Crime|Drama|Romance|Thriller,1998,7,0
Matthew Broderick,The Cable Guy,Comedy|Drama|Thriller,1996,6,0
Nandita Das,Earth,Drama|Romance|War,1998,7.8,522
Charlie Korsmo,Dick Tracy,Action|Comedy|Crime|Music|Romance|Thriller,1990,6.1,2000
Mark Margolis,The Thomas Crown Affair,Crime|Romance|Thriller,1999,6.8,0
Rosie Perez,Riding in Cars with Boys,Biography|Comedy|Drama,2001,6.4,0
Sylvester Stallone,First Blood,Action|Adventure|Drama,1982,7.7,0
Donatas Banionis,Solaris,Drama|Mystery|Sci-Fi,1972,8.1,0
Sarah Michelle Gellar,Happily N'Ever After,Adventure|Animation|Comedy|Family|Fantasy,2006,4.5,261
Julia Roberts,Mary Reilly,Drama|Horror|Romance|Thriller,1996,5.8,616
Julia Roberts,My Best Friend's Wedding,Comedy|Romance,1997,6.3,0
Julia Roberts,America's Sweethearts,Comedy|Romance,2001,5.7,881
Al Pacino,Insomnia,Drama|Mystery|Thriller,2002,7.2,0
LeVar Burton,Star Trek: First Contact,Action|Adventure|Drama|Sci-Fi|Thriller,1996,7.6,3000
Michael Fassbender,Jonah Hex,Action|Drama|Fantasy|Thriller|Western,2010,4.7,0
Denzel Washington,Courage Under Fire,Action|Drama|Mystery|Thriller|War,1996,6.6,975
Maura Tierney,Liar Liar,Comedy|Fantasy|Romance,1997,6.8,0
Joseph Gilgun,The Infiltrator,Biography|Crime|Drama|Thriller,2016,7.3,0
Laurence Olivier,Inchon,Drama|History|War,1981,2.7,115
Jonathan Winters,The Flintstones,Comedy|Family|Fantasy,1994,4.8,0
Liam Neeson,Taken 2,Action|Crime|Thriller,2012,6.3,63000
Regina Hall,Scary Movie 3,Comedy,2003,5.5,0
Candice Bergen,Miss Congeniality,Action|Comedy|Crime|Romance,2000,6.2,0
Josh Hutcherson,Journey to the Center of the Earth,Action|Adventure|Family|Fantasy|Sci-Fi,2008,5.8,0
Anne Hathaway,The Princess Diaries 2: Royal Engagement,Comedy|Family|Romance,2004,5.7,1000
Denzel Washington,The Pelican Brief,Crime|Drama|Mystery|Thriller,1993,6.5,0
Bradley Whitford,The Client,Crime|Drama|Mystery|Thriller,1994,6.7,1000
Morgan Freeman,The Bucket List,Adventure|Comedy|Drama,2007,7.4,22000
Harrison Ford,Patriot Games,Action|Thriller,1992,6.9,0
Adam Scott,Monster-in-Law,Comedy|Romance,2005,5.5,0
Hugh Jackman,Prisoners,Crime|Drama|Mystery|Thriller,2013,8.1,86000
Denzel Washington,Training Day,Crime|Drama|Thriller,2001,7.7,0
Alan Rickman,Galaxy Quest,Adventure|Comedy|Sci-Fi,1999,7.3,19000
Natasha Lyonne,Scary Movie 2,Comedy,2001,5.2,0
Bill Cobbs,The Muppets,Adventure|Comedy|Family|Musical,2011,7.1,26000
Sanaa Lathan,Blade,Action|Horror,1998,7.1,0
Channing Tatum,Coach Carter,Drama|Sport,2005,7.2,0
